Time (ms),dirty,dirty fitted model: ,0cd20,0cd20 fitted model: ,19e3e,19e3e fitted model: ,34a6d,34a6d fitted model: ,484af,484af fitted model: ,714af,714af fitted model: ,34766,34766 fitted model: ,c1204,c1204 fitted model: ,fe81d,fe81d fitted model: ,ff67b,ff67b fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
7.4e-05,6.701752921914162, ,7.096851449673772, ,8.446126966616028, ,8.819734916651894, ,8.300775190327725, ,8.048381310001288, ,9.058888309894009, ,9.227885034735248, ,7.959035562565971, ,7.523929134722476, ,
8.2e-05,3.635595852384011, ,3.8772955541993483, ,4.644403539384557, ,4.917422511221206, ,4.579286640252467, ,4.4382900647631, ,5.041236503526791, ,5.09701432535611, ,4.376196574215831, ,4.138108269873458, ,
9e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-0.9996991535261486, ,-1.0, ,
0.000106,2.8863007991872958, ,2.8710820516622024, ,3.054801726903257, ,3.0544326278014813, ,3.018366635912002, ,2.893615648902695, ,3.138135610481338, ,3.1814750464270736, ,2.9568173179551915, ,2.8242873156694084, ,
0.000122,4.9854626002986135, ,4.873052282105774, ,4.8910540189107055, ,4.817372055986407, ,4.852326816638405, ,4.682005596340423, ,4.955414108825955, ,4.954897326335215, ,4.841825925332072, ,4.6796182996832725, ,
0.000138,2.648831509156167, ,2.5055892756430436, ,2.2860341615716155, ,2.1385667960176815, ,2.2687318796846583, ,2.165501446791416, ,2.2219439883014913, ,2.1743937749262017, ,2.3114345024137317, ,2.264935145573375, ,
0.000154,1.5047905096187635, ,1.4009955896959754, ,1.252187401666614, ,1.1332468376948541, ,1.251748766882627, ,1.1872637385655573, ,1.1770054668926198, ,1.1687701779978474, ,1.253544011058971, ,1.2374142175824614, ,
0.00017,3.687941223661952, ,3.41486549794274, ,2.9544189436840145, ,2.7000964550119266, ,2.9680448800716914, ,2.8479782834993688, ,2.818474182728472, ,2.7360453502329367, ,3.0529069127924813, ,3.0509034682750036, ,
0.000186,1.2853244103968788, ,1.1233956146599289, ,0.7986446654609924, ,0.6433771929522443, ,0.8238388245209651, ,0.7649191576701797, ,0.6492177522370783, ,0.6154112838106996, ,0.8702417729381181, ,0.8983232056908625, ,
0.000218,2.054431504093931, ,1.8176983547069356, ,1.3512324837252399, ,1.1262511597942013, ,1.3745924707303494, ,1.304085682265645, ,1.1595617579851605, ,1.06856548830423, ,1.4512864558651206, ,1.4912779011445474, ,
0.00025,1.552594387131201, ,1.3341237127255137, ,0.8857085247729312, ,0.6737226487603624, ,0.8968958851705113, ,0.8646396859063412, ,0.6991623495060815, ,0.616498272868534, ,0.9855160228211032, ,1.0396391674940788, ,
0.000282,1.4159494242890036, ,1.1970346777050909, ,0.7316278771533202, ,0.5259564488225528, ,0.7606395168324369, ,0.7230899246180827, ,0.5448353600938132, ,0.46927701366937985, ,0.8397761161765993, ,0.8935549903820882, ,
0.000314,1.467049426245581, ,1.2358621033160064, ,0.73950664078447, ,0.5211080853067422, ,0.7621407700304411, ,0.7299045247258213, ,0.550515174423705, ,0.4594616711765208, ,0.85143014235605, ,0.9201005541767493, ,
0.000346,1.6254937819974695, ,1.3778171905552694, ,0.8323281496033331, ,0.5697552638019922, ,0.8592272763914384, ,0.8062692143056899, ,0.5857910393712114, ,0.49354413085836196, ,0.9581839014418758, ,1.0231527700116172, ,
0.000378,1.253382881807207, ,1.037315222540077, ,0.5392286724582794, ,0.3361998164355584, ,0.5669894941410961, ,0.5347835103925803, ,0.35940765923575096, ,0.2766251947381016, ,0.6575933233704102, ,0.7201839437697543, ,
0.000442,1.4074400997861163, ,1.1620000840216447, ,0.6258679739348183, ,0.3724641311668879, ,0.6468094040510256, ,0.6131910770560337, ,0.39680600685261397, ,0.3032176622905419, ,0.7503982648176504, ,0.8246235136626193, ,
0.000506,1.2600709376314423, ,1.0301006574131717, ,0.5090866977093322, ,0.27451115438460566, ,0.5460916708049244, ,0.501038715831271, ,0.28970811631281934, ,0.20855628541580165, ,0.6368450325370503, ,0.7037789314267651, ,
0.00057,1.3759802570825048, ,1.1283350852123475, ,0.585117106685151, ,0.34329893426329966, ,0.6250306936396043, ,0.5831332073380786, ,0.3521891637538042, ,0.2652539498303074, ,0.717427262570329, ,0.7937593087113358, ,
0.000634,1.2382991609571516, ,0.9989185588978254, ,0.4780565402993171, ,0.2478383737351307, ,0.5063368272114688, ,0.4747524615937657, ,0.25848201795741077, ,0.17421307868470592, ,0.6071549806729627, ,0.6814176476409843, ,
0.000698,1.314380694412484, ,1.0689890908801536, ,0.5397433598411951, ,0.30262022204958655, ,0.571697615774201, ,0.529177965000366, ,0.31252196599214227, ,0.22032300352786105, ,0.6667872436872135, ,0.7387541743267015, ,
0.000762,1.2610818943474476, ,1.0191780607261476, ,0.4948867224021997, ,0.267753134465082, ,0.527941427188991, ,0.49262425415923805, ,0.2872618712130669, ,0.20566159312941648, ,0.6270418431623319, ,0.6975842243886687, ,
0.00089,1.253787635523865, ,1.0162617439062631, ,0.49421019093861, ,0.25365668859282414, ,0.5185831331189591, ,0.4843596619922986, ,0.26859079053327245, ,0.19316665462196178, ,0.6179340621737593, ,0.6880843852187473, ,
0.001018,1.2541390815973896,1.204484007772808,1.0148949885962255,0.9638014959995822,0.49193465275922144,0.45383016081789684,0.2576660506764015,0.23448842752040647,0.518485271877481,0.4849652499749016,0.4864465358149701,0.4562432306071637,0.25861246478910593,0.24519260136510018,0.1748583545643625,0.1584868692487189,0.6209720965548329,0.5820177192424926,0.6903994636015065,0.6507078135943765,
