name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz)
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48816_T182s_1_correlation-CH2_2,Not known,shift_20 nM AF48816_T182s_1,,21 January 2022 15:49:14,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.2769051775515278,,0.15677469168083225,,6.378580555819795,54.15811918339611,1,,0.06724936928904662,,0.5,,72.05341491297169,4.794626437646344
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48822_T254s_1_correlation-CH2_2,Not known,shift_20 nM AF48822_T254s_1,,21 January 2022 15:49:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.13901390824095175,,0.09567652853870776,,10.451884231935015,33.007311087799806,1,,0.038801451575302105,,0.7334553148508501,,73.93694490243975,4.66621732443108
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48826_T302s_1_correlation-CH2_2,Not known,shift_20 nM AF48826_T302s_1,,21 January 2022 15:49:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.15037763509224353,,0.11796313544893323,,8.477224653229944,40.89187664506776,1,,0.058406982177414295,,0.5891934358340505,,70.72147178942751,4.9018630135972705
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48827_T314s_1_correlation-CH2_2,Not known,shift_20 nM AF48827_T314s_1,,21 January 2022 15:49:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.15259009431132065,,0.1312911589331205,,7.616659096667723,45.44394873655278,1,,0.04989914565134115,,0.5155254229239685,,72.15174031325756,4.7975056472239
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48839_T459s_1_correlation-CH2_2,Not known,shift_20 nM AF48839_T459s_1,,21 January 2022 15:49:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.1839235719537749,,0.1441444129188869,,6.937487064189724,47.76383399699312,1,,0.0754732667333865,,0.5358763718354643,,69.52530622418314,4.766286919876197
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48850_T592s_1_correlation-CH2_2,Not known,shift_20 nM AF48850_T592s_1,,21 January 2022 15:49:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.1303256905890212,,0.09186667547850992,,10.885340029899382,31.924244182730916,1,,0.03932646967085352,,0.7733918623046808,,76.74830707804418,4.5280951623794
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48851_T604s_1_correlation-CH2_2,Not known,shift_20 nM AF48851_T604s_1,,21 January 2022 15:49:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.16752824800715393,,0.14060249004933853,,7.112249574307625,48.96639621215919,1,,0.05979495788683449,,0.5,,72.33574215478897,4.814751917717552
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48857_T676s_1_correlation-CH2_2,Not known,shift_20 nM AF48857_T676s_1,,21 January 2022 15:49:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.09311671146123762,,0.107743515937297,,9.281300979466508,37.385501496250136,1,,0.04178713808461147,,0.6264271407373355,,70.88326555104229,4.89542135998355
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48870_T833s_1_correlation-CH2_2,Not known,shift_20 nM AF48870_T833s_1,,21 January 2022 15:49:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.13532366557033995,,0.10490495076240991,,9.532438581138205,36.26684324113262,1,,0.04703099857010219,,0.6874783046118493,,71.28949368288083,4.849645199485672
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48883_T986s_1_correlation-CH2_2,Not known,shift_20 nM AF48883_T986s_1,,21 January 2022 15:49:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.142952353412301,,0.11877490171460982,,8.419287118441755,41.31076642343719,1,,0.05760379596427924,,0.5960751490222563,,73.42655400068263,4.737041091819574
2022-01-20_tttr2xfcs_CH2_BIN1_shift_20 nM AF48890_T1070s_1_correlation-CH2_2,Not known,shift_20 nM AF48890_T1070s_1,,21 January 2022 15:49:15,Equation 1A,1,Triplet Eq 2A,1,3D,0.001018,117.440506,0.16089147009417765,,0.09856253683435369,,10.145842752410294,34.267792858933674,1,,0.040845438193494524,,0.7300063472212048,,73.22438511168828,4.7483229888077565
