Time (ms),clean,clean fitted model: ,0cd20,0cd20 fitted model: ,19e3e,19e3e fitted model: ,34a6d,34a6d fitted model: ,484af,484af fitted model: ,714af,714af fitted model: ,34766,34766 fitted model: ,c1204,c1204 fitted model: ,fe81d,fe81d fitted model: ,ff67b,ff67b fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
7.4e-05,5.3075858746752305, ,5.474209459515172, ,6.411484237376892, ,6.7760286668298795, ,6.305305079769446, ,6.759751787041197, ,7.127919599034138, ,7.3398250604538555, ,5.999222035735005, ,6.344357385377227, ,
8.2e-05,2.812448298166026, ,2.9189998361551774, ,3.4838398129709023, ,3.7379482322800284, ,3.4289624129550713, ,3.7136001020444285, ,4.0025044468198, ,4.025693298180485, ,3.2441491999126497, ,3.458224141521118, ,
9e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.000106,2.2986734570163714, ,2.336820107792779, ,2.479365535941798, ,2.509761525804798, ,2.445927722141514, ,2.4945194238163504, ,2.5419848801051725, ,2.6136525986863934, ,2.403186283177646, ,2.4233262513160865, ,
0.000122,4.048358047469864, ,4.08181984744184, ,4.135060088565492, ,4.070427413639031, ,4.106499439352822, ,4.095272843633906, ,4.244730979653451, ,4.223879056919103, ,4.090656430254073, ,4.0574972160523055, ,
0.000138,2.116445551062276, ,2.104767137124671, ,1.9523133112877984, ,1.8304341340141381, ,1.9549920785060309, ,1.893326140285191, ,1.8547931731927005, ,1.8595907304746677, ,1.975788210761439, ,1.9067887390262064, ,
0.000154,1.151416895864062, ,1.1421395787167008, ,1.0159985453465947, ,0.9209446591203141, ,1.0357315719708617, ,0.9680330765653433, ,0.9227641744968778, ,0.9123385667598309, ,1.0371902310917425, ,0.9869200325101174, ,
0.00017,3.0486415902891153, ,3.0179490341010995, ,2.7098043259050226, ,2.4256553524646276, ,2.723848950489195, ,2.5570315578227416, ,2.5027639063571967, ,2.3472825317915187, ,2.776813906795369, ,2.6407893345749613, ,
0.000186,0.9637816698808667, ,0.9423099521468845, ,0.7460069144231855, ,0.5679659684927164, ,0.7600444702132666, ,0.6347299288318639, ,0.5947350120023317, ,0.5433332375031864, ,0.8080659385100343, ,0.7129200473543919, ,
0.000218,1.6433538337418685, ,1.6042889069201862, ,1.2548724745964563, ,1.0031741955889941, ,1.273033651586842, ,1.1103204211885085, ,1.0050794326040497, ,0.9342514592187647, ,1.3461556087778372, ,1.2159175603444476, ,
0.00025,1.2181345127741319, ,1.1678288201961242, ,0.8542023898248968, ,0.6160790358903094, ,0.8741090564859022, ,0.71165952586857, ,0.6160942368440999, ,0.518180331439248, ,0.9436415344102685, ,0.8262024203157132, ,
0.000282,1.0837794142327926, ,1.0377261284924453, ,0.7161563683995487, ,0.4749497024399532, ,0.736997761614272, ,0.5761618145044023, ,0.48312212271247473, ,0.39960200156110626, ,0.807510953049085, ,0.6825874021802272, ,
0.000314,1.1358140473872844, ,1.0846214030319583, ,0.7271221570392986, ,0.4969001359222554, ,0.7546535043203632, ,0.5777468268661045, ,0.5054174258592135, ,0.4021502671634121, ,0.8355797939157736, ,0.7009916659427915, ,
0.000346,1.2497530590482588, ,1.1911554523136945, ,0.8112469328565188, ,0.5491179614739263, ,0.8365736528875236, ,0.6457006740087898, ,0.5531385320046829, ,0.4518609848705183, ,0.9235916543262124, ,0.7875785288845418, ,
0.000378,0.96613784550375, ,0.9169672320649432, ,0.5760111469577712, ,0.33068080409242123, ,0.5997718081717661, ,0.4330631235607669, ,0.35674332265361347, ,0.25948178529507954, ,0.6827328253975495, ,0.5600393165505771, ,
0.000442,1.0922282511544394, ,1.0401948396303347, ,0.6599901365209613, ,0.40375762188879927, ,0.6914418803558112, ,0.49835604618350027, ,0.41671298358702097, ,0.30845465060151817, ,0.7766095784613909, ,0.6367560653509334, ,
0.000506,0.96349277169351, ,0.9125515223338259, ,0.5648170422071348, ,0.3207152743803586, ,0.5855169847075583, ,0.42229363194626335, ,0.3264401985412138, ,0.2206097703211565, ,0.6623884068718874, ,0.5395916265816479, ,
0.00057,1.0591992941008097, ,1.0025776800038004, ,0.6343983940267912, ,0.3771646020605253, ,0.6656383255158409, ,0.4761178876335831, ,0.38319679592255357, ,0.27994190595699475, ,0.7471525545128463, ,0.6095829490440267, ,
0.000634,0.9541487656242952, ,0.9010222826113351, ,0.5327560782911803, ,0.3064663813151592, ,0.5611397141218065, ,0.3862887344888374, ,0.3050593913381091, ,0.20794597076823004, ,0.645895098265087, ,0.5190162043685742, ,
0.000698,1.0123770220331618, ,0.9626365012326643, ,0.5915626275961676, ,0.3367096802295383, ,0.6163641055807294, ,0.4360272595119043, ,0.3440298728809364, ,0.245899801675029, ,0.6993853799021771, ,0.562086433117967, ,
0.000762,0.9571286658859062, ,0.9060128730772348, ,0.5273738195150628, ,0.28935983758182215, ,0.563082728297201, ,0.3881854840813469, ,0.29437209779040624, ,0.196744645630485, ,0.6470602804132182, ,0.5129495103864843, ,
0.00089,0.9675743054041672, ,0.9130797678830999, ,0.5481515469149364, ,0.30454376497612445, ,0.5747330023196147, ,0.39495013475575685, ,0.3061640259728683, ,0.20627476098172573, ,0.6555777976937848, ,0.5294210390506421, ,
0.001018,0.9482146035312157,0.9179230802710308,0.9053883529060391,0.8671484387273104,0.5370693493345126,0.5097646287083839,0.2913448388460493,0.2703311669292281,0.5668379416091524,0.5357960756150311,0.39032293458120837,0.3631481218611465,0.3105106589451487,0.2757828278164508,0.20034325257839647,0.17542400758183793,0.6453734640109283,0.6154555334334192,0.5186592728351338,0.48802354393201597,
