Simulated $D$,Simulated $D_{{clust}}$,nmol,$D$ in $\frac{{\mu m^2}}{{s}}$,$\tau_{{D}}$ in $ms$,Trace lengths,Traces used
0.069,1.0,679.0,1.0378364376569074,10.860145778260932,16384,corrupted without correction
0.069,1.0,679.0,0.8140295713661627,13.846001918614744,16384,corrupted without correction
0.069,1.0,679.0,1.0537160761487618,10.696481967077625,16384,corrupted without correction
0.069,1.0,679.0,0.8970217669213355,12.564973808415335,16384,corrupted without correction
0.069,1.0,679.0,1.0835774279463333,10.40170708272012,16384,corrupted without correction
0.069,1.0,679.0,1.0362300427788156,10.876981501829365,16384,corrupted without correction
0.069,1.0,679.0,1.0347498344841495,10.892541009744592,16384,corrupted without correction
0.069,1.0,679.0,1.127646452922805,9.995202820645602,16384,corrupted without correction
0.069,1.0,679.0,0.7795981224629933,14.457519434931747,16384,corrupted without correction
0.069,1.0,679.0,1.0608501889275346,10.624549181953288,16384,corrupted without correction
0.069,1.0,679.0,0.9921069590273871,11.3607256802176,16384,corrupted without correction
0.069,1.0,679.0,0.8147896830846242,13.83308507819485,16384,corrupted without correction
0.069,1.0,679.0,0.7630515145123825,14.771027633891324,16384,corrupted without correction
0.069,1.0,679.0,1.3679934948059762,8.239114476595965,16384,corrupted without correction
0.069,1.0,679.0,1.1418561682544208,9.870818514888194,16384,corrupted without correction
0.069,1.0,679.0,1.0011592987682891,11.258003617218192,16384,corrupted without correction
0.069,1.0,679.0,1.1149916265859927,10.108645426742813,16384,corrupted without correction
0.069,1.0,679.0,0.9860839329566757,11.430117285401737,16384,corrupted without correction
0.069,1.0,679.0,0.5188348704386414,21.723780819542984,16384,corrupted without correction
0.069,1.0,679.0,0.8298486032494489,13.58206179152536,16384,corrupted without correction
0.069,1.0,679.0,0.6652355836511186,16.942952668112397,16384,corrupted without correction
0.069,1.0,679.0,1.0744848135943377,10.489729463221911,16384,corrupted without correction
0.069,1.0,679.0,0.7698724464789659,14.640158975027003,16384,corrupted without correction
0.069,1.0,679.0,1.202626255955771,9.372034704154624,16384,corrupted without correction
0.069,1.0,679.0,0.9112775862860766,12.368410215026088,16384,corrupted without correction
0.069,1.0,679.0,0.7696398819252978,14.64458283885945,16384,corrupted without correction
0.069,1.0,679.0,0.7375599980921168,15.281543245431457,16384,corrupted without correction
0.069,1.0,679.0,1.049237363877174,10.742140334476728,16384,corrupted without correction
0.069,1.0,679.0,0.83769856201811,13.454786146214444,16384,corrupted without correction
0.069,1.0,679.0,0.8405696968871716,13.408828617881905,16384,corrupted without correction
0.069,1.0,679.0,0.5584820633383991,20.18158817773096,16384,corrupted without correction
0.069,1.0,679.0,0.9519246521633572,11.840280616044842,16384,corrupted without correction
0.069,1.0,679.0,0.6792454518505483,16.59349352467207,16384,corrupted without correction
0.069,1.0,679.0,0.8528097897047071,13.21637619902057,16384,corrupted without correction
0.069,1.0,679.0,1.1036454714502848,10.212568527222691,16384,corrupted without correction
0.069,1.0,679.0,1.007660418455069,11.185370389188902,16384,corrupted without correction
0.069,1.0,679.0,0.9761120577851831,11.546886361100043,16384,corrupted without correction
0.069,1.0,679.0,1.0078378957588152,11.18340067820023,16384,corrupted without correction
0.069,1.0,679.0,0.8308708596099992,13.565351193367793,16384,corrupted without correction
0.069,1.0,679.0,1.2593671910263966,8.949776591971565,16384,corrupted without correction
0.069,1.0,679.0,0.5589433884888061,20.16493125970798,16384,corrupted without correction
